location,crime_rate,population_density,street_light,cctv,police_distance,time_of_day,crowd_density,safety_label
Kazhakkoottam,35,4500,1,1,1.2,Day,High,Moderate
Technopark,20,3000,1,1,0.8,Day,Medium,Safe
Kovalam,25,2800,1,1,1.5,Day,Medium,Safe
Pattom,40,5200,1,1,1.0,Night,High,Moderate
Kesavadasapuram,45,6000,1,1,1.0,Night,High,Moderate
Ulloor,38,5000,1,1,1.1,Day,High,Moderate
Medical College,42,5500,1,1,0.9,Night,High,Moderate
Sreekaryam,30,4200,1,1,1.3,Day,Medium,Safe
Karyavattom,28,3500,1,1,1.2,Day,Medium,Safe
Akkulam,33,4000,1,1,1.5,Night,Medium,Moderate
Palayam,50,6500,1,1,0.7,Night,High,Unsafe
Statue,48,6200,1,1,0.8,Night,High,Moderate
East Fort,55,7000,0,1,0.6,Night,High,Unsafe
Thampanoor,52,6800,0,1,0.6,Night,High,Unsafe
Vazhuthacaud,40,5300,1,1,1.0,Day,High,Moderate
Jagathy,36,4800,1,1,1.2,Day,Medium,Moderate
Poojappura,34,4600,1,1,1.4,Day,Medium,Safe
Nemom,30,3500,1,0,1.8,Day,Low,Safe
Karamana,44,5900,1,1,1.2,Night,High,Moderate
Pappanamcode,38,5200,1,1,1.3,Day,Medium,Moderate
Attakulangara,50,6500,0,1,0.9,Night,High,Unsafe
Manacaud,47,6100,1,1,1.0,Night,High,Moderate
Peroorkada,35,4700,1,1,1.3,Day,Medium,Safe
Vattiyoorkavu,32,4300,1,1,1.5,Day,Medium,Safe
Kudappanakunnu,29,3900,1,1,1.4,Day,Low,Safe
Nalanchira,33,4100,1,1,1.3,Day,Medium,Safe
Pangappara,28,3600,1,1,1.6,Day,Low,Safe
Chackai,45,6000,0,1,0.9,Night,High,Unsafe
Shangumugham,42,5400,1,1,1.1,Night,High,Moderate
Airport Road,40,5200,1,1,1.0,Night,High,Moderate